"STATION","NAME","DATE","PRCP","PRCP_ATTRIBUTES"
"US1MIWS0060","ANN ARBOR 3.8 WNW, MI US","2022-04-03","1.8",",,N"
"US1MIWS0060","ANN ARBOR 3.8 WNW, MI US","2022-04-04","0.3",",,N"
"US1MIWS0060","ANN ARBOR 3.8 WNW, MI US","2022-04-09",,
"US1MIWS0060","ANN ARBOR 3.8 WNW, MI US","2022-04-10","0.0",",,N"
"US1MIWS0060","ANN ARBOR 3.8 WNW, MI US","2022-04-11","0.8",",,N"
"US1MIWS0060","ANN ARBOR 3.8 WNW, MI US","2022-04-12","0.0","T,,N"
"US1MIWS0060","ANN ARBOR 3.8 WNW, MI US","2022-04-13","0.0",",,N"
"US1MIWS0060","ANN ARBOR 3.8 WNW, MI US","2022-04-14","6.4",",,N"
"US1MIWS0060","ANN ARBOR 3.8 WNW, MI US","2022-04-15","0.0","T,,N"
"US1MIWS0060","ANN ARBOR 3.8 WNW, MI US","2022-04-16","9.1",",,N"
"US1MIWS0060","ANN ARBOR 3.8 WNW, MI US","2022-04-17","0.0",",,N"
"US1MIWS0060","ANN ARBOR 3.8 WNW, MI US","2022-04-19","3.0",",,N"
"US1MIWS0060","ANN ARBOR 3.8 WNW, MI US","2022-04-20","0.0",",,N"
"US1MIWS0060","ANN ARBOR 3.8 WNW, MI US","2022-04-21","1.3",",,N"
"US1MIWS0060","ANN ARBOR 3.8 WNW, MI US","2022-04-22","0.0",",,N"
"US1MIWS0060","ANN ARBOR 3.8 WNW, MI US","2022-04-23","25.7",",,N"
"US1MIWS0060","ANN ARBOR 3.8 WNW, MI US","2022-04-24","0.3",",,N"
"US1MIWS0060","ANN ARBOR 3.8 WNW, MI US","2022-04-25","5.3",",,N"
"US1MIWS0060","ANN ARBOR 3.8 WNW, MI US","2022-04-26","1.3",",,N"
"US1MIWS0060","ANN ARBOR 3.8 WNW, MI US","2022-04-27","0.0",",,N"
"US1MIWS0060","ANN ARBOR 3.8 WNW, MI US","2022-04-28","0.0",",,N"
"US1MIWS0060","ANN ARBOR 3.8 WNW, MI US","2022-04-29","0.0",",,N"
"US1MIWS0060","ANN ARBOR 3.8 WNW, MI US","2022-04-30","0.0",",,N"
"US1MIWS0060","ANN ARBOR 3.8 WNW, MI US","2022-05-01","8.6",",,N"
"US1MIWS0060","ANN ARBOR 3.8 WNW, MI US","2022-05-02","0.0",",,N"
"US1MIWS0060","ANN ARBOR 3.8 WNW, MI US","2022-05-03","0.0",",,N"
"US1MIWS0060","ANN ARBOR 3.8 WNW, MI US","2022-05-04","14.7",",,N"
"US1MIWS0060","ANN ARBOR 3.8 WNW, MI US","2022-05-05","0.0",",,N"
"US1MIWS0060","ANN ARBOR 3.8 WNW, MI US","2022-05-06","1.8",",,N"
"US1MIWS0060","ANN ARBOR 3.8 WNW, MI US","2022-05-07","3.3",",,N"
"US1MIWS0060","ANN ARBOR 3.8 WNW, MI US","2022-05-08","0.0",",,N"
"US1MIWS0060","ANN ARBOR 3.8 WNW, MI US","2022-05-09","0.0",",,N"
"US1MIWS0060","ANN ARBOR 3.8 WNW, MI US","2022-05-10","0.0",",,N"
"US1MIWS0060","ANN ARBOR 3.8 WNW, MI US","2022-05-11","0.0",",,N"
"US1MIWS0060","ANN ARBOR 3.8 WNW, MI US","2022-05-12","0.0",",,N"
"US1MIWS0060","ANN ARBOR 3.8 WNW, MI US","2022-05-13","0.0",",,N"
"US1MIWS0060","ANN ARBOR 3.8 WNW, MI US","2022-05-14","0.0",",,N"
"US1MIWS0060","ANN ARBOR 3.8 WNW, MI US","2022-05-15","49.0",",,N"
"US1MIWS0060","ANN ARBOR 3.8 WNW, MI US","2022-05-16","3.8",",,N"
"US1MIWS0060","ANN ARBOR 3.8 WNW, MI US","2022-05-17","0.0",",,N"
"US1MIWS0060","ANN ARBOR 3.8 WNW, MI US","2022-05-18","0.0",",,N"
"US1MIWS0060","ANN ARBOR 3.8 WNW, MI US","2022-05-19","8.6",",,N"
"US1MIWS0060","ANN ARBOR 3.8 WNW, MI US","2022-05-20","0.0",",,N"
"US1MIWS0060","ANN ARBOR 3.8 WNW, MI US","2022-05-21","0.0",",,N"
"US1MIWS0060","ANN ARBOR 3.8 WNW, MI US","2022-05-22","5.6",",,N"
"US1MIWS0060","ANN ARBOR 3.8 WNW, MI US","2022-05-23","0.0",",,N"
"US1MIWS0060","ANN ARBOR 3.8 WNW, MI US","2022-05-25","0.0",",,N"
"US1MIWS0060","ANN ARBOR 3.8 WNW, MI US","2022-05-26","6.6",",,N"
"US1MIWS0060","ANN ARBOR 3.8 WNW, MI US","2022-05-27","5.3",",,N"
"US1MIWS0060","ANN ARBOR 3.8 WNW, MI US","2022-05-28","15.2",",,N"
"US1MIWS0060","ANN ARBOR 3.8 WNW, MI US","2022-05-29","0.0",",,N"
"US1MIWS0060","ANN ARBOR 3.8 WNW, MI US","2022-05-30","0.0",",,N"
"US1MIWS0060","ANN ARBOR 3.8 WNW, MI US","2022-06-01","0.0",",,N"
"US1MIWS0060","ANN ARBOR 3.8 WNW, MI US","2022-06-02","3.3",",,N"
"US1MIWS0060","ANN ARBOR 3.8 WNW, MI US","2022-06-03","0.3",",,N"
"US1MIWS0060","ANN ARBOR 3.8 WNW, MI US","2022-06-16",,
"US1MIWS0060","ANN ARBOR 3.8 WNW, MI US","2022-06-17","8.9",",,N"
"US1MIWS0060","ANN ARBOR 3.8 WNW, MI US","2022-06-18","0.0",",,N"
"US1MIWS0060","ANN ARBOR 3.8 WNW, MI US","2022-06-19","0.0",",,N"
"US1MIWS0060","ANN ARBOR 3.8 WNW, MI US","2022-06-20","0.8",",,N"
"US1MIWS0060","ANN ARBOR 3.8 WNW, MI US","2022-06-21","0.0",",,N"
"US1MIWS0060","ANN ARBOR 3.8 WNW, MI US","2022-06-22","0.0",",,N"
"US1MIWS0060","ANN ARBOR 3.8 WNW, MI US","2022-06-24","0.0",",,N"
"US1MIWS0060","ANN ARBOR 3.8 WNW, MI US","2022-06-29",,
"US1MIWS0060","ANN ARBOR 3.8 WNW, MI US","2022-07-02","4.8",",,N"
"US1MIWS0060","ANN ARBOR 3.8 WNW, MI US","2022-07-03","0.0",",,N"
"US1MIWS0060","ANN ARBOR 3.8 WNW, MI US","2022-07-04","0.0",",,N"
"US1MIWS0060","ANN ARBOR 3.8 WNW, MI US","2022-07-05","8.1",",,N"
"US1MIWS0060","ANN ARBOR 3.8 WNW, MI US","2022-07-06","3.6",",,N"
"US1MIWS0060","ANN ARBOR 3.8 WNW, MI US","2022-07-07","3.3",",,N"
"US1MIWS0060","ANN ARBOR 3.8 WNW, MI US","2022-07-08","0.0",",,N"
"US1MIWS0060","ANN ARBOR 3.8 WNW, MI US","2022-07-09","22.6",",,N"
"US1MIWS0060","ANN ARBOR 3.8 WNW, MI US","2022-07-10","0.0",",,N"
"US1MIWS0060","ANN ARBOR 3.8 WNW, MI US","2022-07-12","1.8",",,N"
"US1MIWS0060","ANN ARBOR 3.8 WNW, MI US","2022-07-13","3.0",",,N"
"US1MIWS0060","ANN ARBOR 3.8 WNW, MI US","2022-07-14","18.0",",,N"
"US1MIWS0060","ANN ARBOR 3.8 WNW, MI US","2022-07-16","5.3",",,N"
"US1MIWS0060","ANN ARBOR 3.8 WNW, MI US","2022-07-18","0.5",",,N"
"US1MIWS0060","ANN ARBOR 3.8 WNW, MI US","2022-07-19","0.0",",,N"
"US1MIWS0060","ANN ARBOR 3.8 WNW, MI US","2022-07-20","0.0",",,N"
"US1MIWS0060","ANN ARBOR 3.8 WNW, MI US","2022-07-21","1.8",",,N"
"US1MIWS0060","ANN ARBOR 3.8 WNW, MI US","2022-07-22","1.8",",,N"
"US1MIWS0060","ANN ARBOR 3.8 WNW, MI US","2022-07-23","1.0",",,N"
"US1MIWS0060","ANN ARBOR 3.8 WNW, MI US","2022-07-24","11.2",",,N"
"US1MIWS0060","ANN ARBOR 3.8 WNW, MI US","2022-07-25","0.0","T,,N"
"US1MIWS0060","ANN ARBOR 3.8 WNW, MI US","2022-07-26","0.0",",,N"
"US1MIWS0060","ANN ARBOR 3.8 WNW, MI US","2022-07-27","0.0",",,N"
"US1MIWS0060","ANN ARBOR 3.8 WNW, MI US","2022-07-28","0.8",",,N"
"US1MIWS0060","ANN ARBOR 3.8 WNW, MI US","2022-07-29","0.0",",,N"
"US1MIWS0060","ANN ARBOR 3.8 WNW, MI US","2022-07-30","0.0",",,N"
"US1MIWS0060","ANN ARBOR 3.8 WNW, MI US","2022-07-31","0.0",",,N"
"US1MIWS0060","ANN ARBOR 3.8 WNW, MI US","2022-08-01","0.0",",,N"
"US1MIWS0060","ANN ARBOR 3.8 WNW, MI US","2022-08-02","0.0",",,N"
"US1MIWS0060","ANN ARBOR 3.8 WNW, MI US","2022-08-03","0.0",",,N"
"US1MIWS0060","ANN ARBOR 3.8 WNW, MI US","2022-08-04","22.9",",,N"
"US1MIWS0060","ANN ARBOR 3.8 WNW, MI US","2022-08-05","23.9",",,N"
"US1MIWS0060","ANN ARBOR 3.8 WNW, MI US","2022-08-06","0.5",",,N"
"US1MIWS0060","ANN ARBOR 3.8 WNW, MI US","2022-08-07","0.0",",,N"
"US1MIWS0060","ANN ARBOR 3.8 WNW, MI US","2022-08-08","3.3",",,N"
"US1MIWS0060","ANN ARBOR 3.8 WNW, MI US","2022-08-09","5.1",",,N"
"US1MIWS0060","ANN ARBOR 3.8 WNW, MI US","2022-08-10","0.0",",,N"
"US1MIWS0060","ANN ARBOR 3.8 WNW, MI US","2022-08-14",,
"US1MIWS0060","ANN ARBOR 3.8 WNW, MI US","2022-08-15","0.0",",,N"
"US1MIWS0060","ANN ARBOR 3.8 WNW, MI US","2022-08-16","0.0",",,N"
"US1MIWS0060","ANN ARBOR 3.8 WNW, MI US","2022-08-18","8.6",",,N"
"US1MIWS0060","ANN ARBOR 3.8 WNW, MI US","2022-08-19","0.0",",,N"
"US1MIWS0060","ANN ARBOR 3.8 WNW, MI US","2022-08-20","0.0",",,N"
"US1MIWS0060","ANN ARBOR 3.8 WNW, MI US","2022-08-21","22.9",",,N"
"US1MIWS0060","ANN ARBOR 3.8 WNW, MI US","2022-08-22","0.0",",,N"
"US1MIWS0060","ANN ARBOR 3.8 WNW, MI US","2022-08-23","0.0",",,N"
"US1MIWS0060","ANN ARBOR 3.8 WNW, MI US","2022-08-24","0.0",",,N"
"US1MIWS0060","ANN ARBOR 3.8 WNW, MI US","2022-08-25","0.0",",,N"
"US1MIWS0060","ANN ARBOR 3.8 WNW, MI US","2022-08-26","0.0",",,N"
"US1MIWS0060","ANN ARBOR 3.8 WNW, MI US","2022-08-27","0.0",",,N"
"US1MIWS0060","ANN ARBOR 3.8 WNW, MI US","2022-08-28","0.0",",,N"
"US1MIWS0060","ANN ARBOR 3.8 WNW, MI US","2022-08-29","1.8",",,N"
"US1MIWS0060","ANN ARBOR 3.8 WNW, MI US","2022-08-30","16.5",",,N"
"US1MIWS0060","ANN ARBOR 3.8 WNW, MI US","2022-08-31","0.0",",,N"
"US1MIWS0060","ANN ARBOR 3.8 WNW, MI US","2022-09-01","0.0",",,N"
"US1MIWS0060","ANN ARBOR 3.8 WNW, MI US","2022-09-02","0.0",",,N"
"US1MIWS0060","ANN ARBOR 3.8 WNW, MI US","2022-09-03","0.0",",,N"
"US1MIWS0060","ANN ARBOR 3.8 WNW, MI US","2022-09-04","0.0",",,N"
"US1MIWS0060","ANN ARBOR 3.8 WNW, MI US","2022-09-05","0.0","T,,N"
"US1MIWS0060","ANN ARBOR 3.8 WNW, MI US","2022-09-07","0.0",",,N"
"US1MIWS0060","ANN ARBOR 3.8 WNW, MI US","2022-09-08","0.0",",,N"
"US1MIWS0060","ANN ARBOR 3.8 WNW, MI US","2022-09-09","0.0",",,N"
"US1MIWS0060","ANN ARBOR 3.8 WNW, MI US","2022-09-10","0.0",",,N"
"US1MIWS0060","ANN ARBOR 3.8 WNW, MI US","2022-09-11","35.3",",,N"
"US1MIWS0060","ANN ARBOR 3.8 WNW, MI US","2022-09-12","11.9",",,N"
"US1MIWS0060","ANN ARBOR 3.8 WNW, MI US","2022-09-13","0.0",",,N"
"US1MIWS0060","ANN ARBOR 3.8 WNW, MI US","2022-09-14","0.3",",,N"
"US1MIWS0060","ANN ARBOR 3.8 WNW, MI US","2022-09-15","0.0",",,N"
"US1MIWS0060","ANN ARBOR 3.8 WNW, MI US","2022-09-16","0.0",",,N"
"US1MIWS0060","ANN ARBOR 3.8 WNW, MI US","2022-09-17","0.0",",,N"
"US1MIWS0060","ANN ARBOR 3.8 WNW, MI US","2022-09-18","0.0",",,N"
"US1MIWS0060","ANN ARBOR 3.8 WNW, MI US","2022-09-19","7.9",",,N"
"US1MIWS0060","ANN ARBOR 3.8 WNW, MI US","2022-09-20","0.0",",,N"
"US1MIWS0060","ANN ARBOR 3.8 WNW, MI US","2022-09-21","23.9",",,N"
"US1MIWS0060","ANN ARBOR 3.8 WNW, MI US","2022-09-22","0.5",",,N"
"US1MIWS0060","ANN ARBOR 3.8 WNW, MI US","2022-09-23","0.0",",,N"
"US1MIWS0060","ANN ARBOR 3.8 WNW, MI US","2022-09-24","0.0",",,N"
"US1MIWS0060","ANN ARBOR 3.8 WNW, MI US","2022-09-25","7.4",",,N"
"US1MIWS0060","ANN ARBOR 3.8 WNW, MI US","2022-09-26","2.8",",,N"
"US1MIWS0060","ANN ARBOR 3.8 WNW, MI US","2022-09-27","1.0",",,N"
"US1MIWS0060","ANN ARBOR 3.8 WNW, MI US","2022-09-28","0.0",",,N"
"US1MIWS0060","ANN ARBOR 3.8 WNW, MI US","2022-09-29","0.0",",,N"
"US1MIWS0060","ANN ARBOR 3.8 WNW, MI US","2022-09-30","0.0",",,N"
"US1MIWS0060","ANN ARBOR 3.8 WNW, MI US","2022-10-03","0.0",",,N"
"US1MIWS0060","ANN ARBOR 3.8 WNW, MI US","2022-10-04","0.0",",,N"
"US1MIWS0060","ANN ARBOR 3.8 WNW, MI US","2022-10-05","0.0",",,N"
"US1MIWS0060","ANN ARBOR 3.8 WNW, MI US","2022-10-06","0.0",",,N"
"US1MIWS0060","ANN ARBOR 3.8 WNW, MI US","2022-10-07","0.0","T,,N"
"US1MIWS0060","ANN ARBOR 3.8 WNW, MI US","2022-10-08","0.0",",,N"
"US1MIWS0060","ANN ARBOR 3.8 WNW, MI US","2022-10-09","0.0",",,N"
"US1MIWS0060","ANN ARBOR 3.8 WNW, MI US","2022-10-10","0.0",",,N"
"US1MIWS0060","ANN ARBOR 3.8 WNW, MI US","2022-10-13",,
"US1MIWS0060","ANN ARBOR 3.8 WNW, MI US","2022-10-14","0.3",",,N"
"US1MIWS0060","ANN ARBOR 3.8 WNW, MI US","2022-10-15","1.0",",,N"
"US1MIWS0060","ANN ARBOR 3.8 WNW, MI US","2022-10-16","0.0",",,N"
"US1MIWS0060","ANN ARBOR 3.8 WNW, MI US","2022-10-17","0.5",",,N"
"US1MIWS0060","ANN ARBOR 3.8 WNW, MI US","2022-10-18","2.3",",,N"
"US1MIWS0060","ANN ARBOR 3.8 WNW, MI US","2022-10-19","3.0",",,N"
"US1MIWS0060","ANN ARBOR 3.8 WNW, MI US","2022-10-20","1.0",",,N"
"US1MIWS0060","ANN ARBOR 3.8 WNW, MI US","2022-10-21","0.8",",,N"
"US1MIWS0060","ANN ARBOR 3.8 WNW, MI US","2022-10-22","0.0",",,N"
"US1MIWS0060","ANN ARBOR 3.8 WNW, MI US","2022-10-23","0.0",",,N"
"US1MIWS0060","ANN ARBOR 3.8 WNW, MI US","2022-10-24","0.0",",,N"
"US1MIWS0060","ANN ARBOR 3.8 WNW, MI US","2022-10-25","0.0",",,N"
"US1MIWS0060","ANN ARBOR 3.8 WNW, MI US","2022-10-26","4.1",",,N"
"US1MIWS0060","ANN ARBOR 3.8 WNW, MI US","2022-10-27","0.5",",,N"
"US1MIWS0060","ANN ARBOR 3.8 WNW, MI US","2022-10-28","0.0",",,N"
"US1MIWS0060","ANN ARBOR 3.8 WNW, MI US","2022-10-29","0.0",",,N"
"US1MIWS0060","ANN ARBOR 3.8 WNW, MI US","2022-10-30","0.0",",,N"
"US1MIWS0060","ANN ARBOR 3.8 WNW, MI US","2022-11-01",,
"US1MIWS0060","ANN ARBOR 3.8 WNW, MI US","2022-11-02","0.0",",,N"
"US1MIWS0060","ANN ARBOR 3.8 WNW, MI US","2022-11-03","0.0",",,N"
"US1MIWS0060","ANN ARBOR 3.8 WNW, MI US","2022-11-04","0.0",",,N"
"US1MIWS0060","ANN ARBOR 3.8 WNW, MI US","2022-11-05","0.0",",,N"
"US1MIWS0060","ANN ARBOR 3.8 WNW, MI US","2022-11-06","0.5",",,N"
"US1MIWS0060","ANN ARBOR 3.8 WNW, MI US","2022-11-08","0.0",",,N"
"US1MIWS0060","ANN ARBOR 3.8 WNW, MI US","2022-11-09","0.0",",,N"
"US1MIWS0060","ANN ARBOR 3.8 WNW, MI US","2022-11-10","0.0",",,N"
"US1MIWS0060","ANN ARBOR 3.8 WNW, MI US","2022-11-11","0.0",",,N"
"US1MIWS0060","ANN ARBOR 3.8 WNW, MI US","2022-11-12","0.0",",,N"
"US1MIWS0060","ANN ARBOR 3.8 WNW, MI US","2022-11-15","0.0","T,,N"
"US1MIWS0060","ANN ARBOR 3.8 WNW, MI US","2022-11-27",,
"US1MIWS0060","ANN ARBOR 3.8 WNW, MI US","2022-11-28","6.4",",,N"
"US1MIWS0060","ANN ARBOR 3.8 WNW, MI US","2022-11-29","0.0",",,N"
"US1MIWS0060","ANN ARBOR 3.8 WNW, MI US","2022-11-30","4.1",",,N"
"US1MIWS0060","ANN ARBOR 3.8 WNW, MI US","2022-12-01","0.3",",,N"
"US1MIWS0060","ANN ARBOR 3.8 WNW, MI US","2022-12-02","0.0",",,N"
"US1MIWS0060","ANN ARBOR 3.8 WNW, MI US","2022-12-03","1.3",",,N"
"US1MIWS0060","ANN ARBOR 3.8 WNW, MI US","2022-12-04","0.0",",,N"
"US1MIWS0060","ANN ARBOR 3.8 WNW, MI US","2022-12-06","0.0",",,N"
"US1MIWS0060","ANN ARBOR 3.8 WNW, MI US","2022-12-07","0.0",",,N"
"US1MIWS0060","ANN ARBOR 3.8 WNW, MI US","2022-12-08","0.0",",,N"
"US1MIWS0060","ANN ARBOR 3.8 WNW, MI US","2022-12-09","0.0",",,N"
"US1MIWS0060","ANN ARBOR 3.8 WNW, MI US","2022-12-10","0.0",",,N"
"US1MIWS0060","ANN ARBOR 3.8 WNW, MI US","2022-12-12","0.0",",,N"
"US1MIWS0060","ANN ARBOR 3.8 WNW, MI US","2022-12-13","0.0",",,N"
"US1MIWS0060","ANN ARBOR 3.8 WNW, MI US","2022-12-14","0.0",",,N"
"US1MIWS0060","ANN ARBOR 3.8 WNW, MI US","2022-12-15","11.9",",,N"
"US1MIWS0060","ANN ARBOR 3.8 WNW, MI US","2022-12-16","0.0","T,,N"
"US1MIWS0060","ANN ARBOR 3.8 WNW, MI US","2022-12-30","0.8",",,N"
"US1MIWS0060","ANN ARBOR 3.8 WNW, MI US","2022-12-31","20.3",",,N"
"US1MIWS0060","ANN ARBOR 3.8 WNW, MI US","2023-01-01","2.5",",,N"
"US1MIWS0060","ANN ARBOR 3.8 WNW, MI US","2023-01-02","0.0","T,,N"
"US1MIWS0060","ANN ARBOR 3.8 WNW, MI US","2023-01-03","4.3",",,N"
"US1MIWS0060","ANN ARBOR 3.8 WNW, MI US","2023-01-04","4.3",",,N"
"US1MIWS0060","ANN ARBOR 3.8 WNW, MI US","2023-01-05","1.0",",,N"
"US1MIWS0060","ANN ARBOR 3.8 WNW, MI US","2023-01-06","2.0",",,N"
"US1MIWS0060","ANN ARBOR 3.8 WNW, MI US","2023-01-17","4.8",",,N"
"US1MIWS0060","ANN ARBOR 3.8 WNW, MI US","2023-01-18","0.0","T,,N"
"US1MIWS0060","ANN ARBOR 3.8 WNW, MI US","2023-01-19","7.4",",,N"
"US1MIWS0060","ANN ARBOR 3.8 WNW, MI US","2023-01-20","6.6",",,N"
